COUNTY,NAME,Total Population,Population Under 18,Population Age 20-64,Population Age 62 and over,Population Age 65 and over,Median Age,Population of one Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and other Pacific Islander Alone,Some Other Race Alone,Population of Two or more Races,Hispanic or Latino,Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,Total Households,Family Households,Family Households With own children under 18,Husband-Wife Family,Husband-Wife Family With own children under 18,"Male householder, no wife present","Male householder, no wife present With own children under 18","Female householder, no husband present","Female householder, no husband present With own children under 18",Non-Family Households,Average Household Size,Average Family Size,Total Occupied Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units
101,Philadelphia County,1526006,343837,939880,227241,185309,33.5,1482936,626221,661839,6996,96405,744,90731,43070,187611,15531,121643,3930,46507,1338395,599736,340354,149193,169587,66177,36119,14466,134648,68550,259382,2.45,3.2,599736,324536,275200
103,Pike County,57369,13358,33230,11581,9303,43.7,56160,50856,3322,176,597,16,1193,1209,5173,277,2918,251,1727,52196,21925,15888,6590,12792,4938,1024,506,2072,1146,6037,2.59,3.05,21925,18811,3114
105,Potter County,17457,3901,9753,4144,3403,44.9,17316,17128,67,45,45,1,30,141,181,63,66,4,48,17276,7227,4875,1810,3890,1218,356,208,629,384,2352,2.39,2.88,7227,5524,1703
107,Schuylkill County,148289,29738,88500,32449,26828,43.2,146806,140013,3967,212,710,26,1878,1483,4080,1071,1329,83,1597,144209,60192,39004,14824,28986,9739,3431,1719,6587,3366,21188,2.35,2.89,60192,45496,14696
109,Snyder County,39702,8894,22931,7515,6144,39.2,39375,38476,428,53,214,6,198,327,657,77,388,13,179,39045,14750,10363,4153,8587,3198,588,326,1188,629,4387,2.53,3.01,14750,10947,3803
111,Somerset County,77742,15131,46516,17370,14431,44.3,77276,74603,1863,86,239,17,468,466,840,292,81,14,453,76902,31090,21025,7590,16933,5592,1386,676,2706,1322,10065,2.35,2.87,31090,23885,7205
113,Sullivan County,6428,1026,3628,1886,1557,49.9,6385,6163,168,26,20,0,8,43,92,20,13,4,55,6336,2777,1746,515,1442,377,132,64,172,74,1031,2.16,2.7,2777,2220,557
115,Susquehanna County,43356,9167,25283,9652,7845,45.1,42997,42510,156,57,123,12,139,359,564,167,208,32,157,42792,17798,12132,4442,9585,3077,1000,520,1547,845,5666,2.42,2.89,17798,13911,3887
117,Tioga County,41981,8590,24147,9203,7562,42.4,41543,40852,333,91,183,4,80,438,437,111,171,22,133,41544,16727,11276,4093,8999,2838,793,424,1484,831,5451,2.39,2.84,16727,12478,4249
119,Union County,44947,8310,27922,8075,6654,38.5,44235,39414,3324,159,522,24,792,712,2346,841,745,76,684,42601,14765,9846,4008,8146,3021,528,289,1172,698,4919,2.43,2.96,14765,10492,4273
121,Venango County,54984,11832,31953,12039,9884,44.3,54362,53390,571,85,197,11,108,622,478,173,130,32,143,54506,22621,15305,5739,11633,3686,1164,679,2508,1374,7316,2.37,2.85,22621,16876,5745
123,Warren County,41815,8718,24324,9564,7840,45.1,41482,41031,149,80,157,12,53,333,305,125,75,15,90,41510,17767,11440,4207,9063,2873,846,471,1531,863,6327,2.31,2.85,17767,13630,4137
125,Washington County,207820,42684,122859,44419,36366,43.6,204653,195657,6757,251,1327,31,630,3167,2366,943,417,78,928,205454,85089,56437,21627,43849,15559,3671,1736,8917,4332,28652,2.37,2.9,85089,64541,20548
127,Wayne County,52822,10042,31647,12396,10028,45.9,52223,49759,1644,101,255,4,460,599,1816,352,821,86,557,51006,20625,13952,4919,11114,3517,934,453,1904,949,6673,2.38,2.87,20625,16656,3969
129,Westmoreland County,365169,72611,214675,83587,68877,45.1,360694,348182,8562,351,2704,62,833,4475,3179,1194,742,170,1073,361990,153650,101928,37600,80185,27122,6326,2944,15417,7534,51722,2.32,2.86,153650,117726,35924
131,Wyoming County,28276,6149,16816,5692,4528,42.3,28017,27545,208,54,95,3,112,259,437,133,148,16,140,27839,11237,7661,2986,5931,2083,630,336,1100,567,3576,2.46,2.95,11237,8612,2625
133,York County,434972,102014,260727,76123,61057,40.1,426277,385135,24344,942,5407,123,10326,8695,24397,4974,13493,467,5463,410575,168372,118478,50316,92544,35345,8047,4615,17887,10356,49894,2.53,2.98,168372,127173,41199
